상호명,주소,업종대분류,업종중분류,업종소분류,위도,경도
하늘한조각어린이집,서울특별시 은평구 역촌동 56-12,학문/교육,유아교육,어린이집,37.6049941,126.9148856
허술한집,서울특별시 강서구 공항동 45-89,음식,분식,라면김밥분식,37.5556799,126.7931257
신풍유통,서울특별시 중구 봉래동2가 122,제조,식품가공/제조,종합식품제조,37.55661,126.97177
옛날한과,서울특별시 양천구 신월동 115-15,음식,제과제빵떡케익,떡/한과집,37.52782,126.83692
서울연인단팥빵본점,서울특별시 강남구 역삼동 707-9,제조,식품가공/제조,빵/과자제조-종합,37.49988,127.03856
엔젤,서울특별시 중구 황학동 706-2,음식,유흥주점,호프/맥주,37.5675499,127.02172
하루식품,서울특별시 중구 충무로1가 52-5,소매,음/식료품소매,식료품점,37.56088,126.98318
시드니,서울특별시 양천구 신정동 117-36,음식,유흥주점,룸살롱/단란주점,37.5162407,126.8521196
신창농산구내식당,서울특별시 송파구 가락동 600,음식,기타음식업,구내식당/자급식음식점,37.49672,127.11744
도쿄다이야키,서울특별시 강남구 대치동 937,음식,제과제빵떡케익,제과점,37.49882,127.06566
선일이비즈니스고등학교,서울특별시 은평구 갈현동 240-1,학문/교육,학교,고등학교,37.62058,126.91102
GS25대치학원점,서울특별시 강남구 대치동 988-17,소매,종합소매점,편의점,37.49882,127.06566
GS25,서울특별시 강남구 신사동 659-9,소매,종합소매점,편의점,37.5223206,127.0277019
우리에프엔지,서울특별시 구로구 구로동 188-26,제조,식품가공/제조,종합식품제조,37.4945849,126.8845477
NC백화점,서울특별시 서초구 잠원동 70-2,소매,종합소매점,백화점,37.5182544,127.0124028
동화푸드,서울특별시 중구 소공동 1,제조,식품가공/제조,종합식품제조,37.5654798,126.977114
한비건강식품,서울특별시 관악구 신림동 607-73,소매,건강/미용식품,건강식품판매,37.4890783,126.9275772
강원전통식품,서울특별시 서초구 양재동 232,소매,음/식료품소매,식료품점,37.46838,127.0361
풋젠,서울특별시 강동구 성내동 169-6,소매,가방/신발/액세서리,신발소매,37.52998,127.12875
돈돈,서울특별시 용산구 한강로3가 40-999,소매,사무/문구/컴퓨터,컴퓨터/주변기기,,
황제,서울특별시 서대문구 창천동 30-33,제조,식품가공/제조,종합식품제조,,
베이크드아를르,서울특별시 영등포구 영등포동4가 434-5,,,,37.51777,126.90368
희원비지니스,서울특별시 관악구 신림동 1425-29,음식,유흥주점,기타일반유흥주점,37.4868283,126.9282666
GS25,서울특별시 은평구 대조동 187-7,소매,종합소매점,편의점,37.61261,126.9227835
CU,서울특별시 강남구 논현동 105-4,소매,종합소매점,편의점,37.5123018,127.0294935
경기반찬,서울특별시 송파구 신천동 7,제조,식품가공/제조,종합식품제조,37.5184928,127.1030779
송정,서울특별시 강동구 성내동 130-18,제조,식품가공/제조,종합식품제조,37.52998,127.12875
고메홈,서울특별시 중구 충무로1가 52-5,음식,한식,곱창/양구이전문,37.56088,126.98318
롯데리아홈플러스강서점,서울특별시 강서구 등촌동 639-11,음식,패스트푸드,패스트푸드,37.5498936,126.86025
CU,서울특별시 성동구 성수동1가 656-997,소매,종합소매점,편의점,,
싱싱포차,서울특별시 구로구 오류동 36-1,음식,한식,한식/백반/한정식,37.4910095,126.8377379
용보제약,서울특별시 동대문구 제기동 892-29,제조,제약업,제약업-종합,37.58465,127.03678
삼환씨푸드,서울특별시 양천구 목동 916,소매,음/식료품소매,반찬가게,37.53608,126.87585
예미찬방,서울특별시 강남구 삼성동 159-7,제조,식품가공/제조,종합식품제조,37.5147838,127.0543618
소피아코리아,서울특별시 구로구 고척동 161-13,,,,37.5034631,126.8585846
경성자동차,서울특별시 노원구 공릉동 494-5,교통/운송,택시운송,택시회사,37.63021,127.08818
위드미발산역,서울특별시 강서구 등촌동 674-9,소매,종합소매점,종합소매,37.5498936,126.86025
연세고운가정의학과의원,서울특별시 서대문구 냉천동 261-2,의료,병원,일반병원,37.56644,126.96208
행복한베이커리&카페,서울특별시 서초구 서초동 391,음식,제과제빵떡케익,제과점,37.48818,127.01751
비어드파파,서울특별시 서초구 잠원동 70-2,음식,제과제빵떡케익,제과점,37.5182544,127.0124028
GS25,서울특별시 서대문구 북가좌동 306-17,소매,종합소매점,수퍼마켓,37.57953,126.91156
국립현충원,서울특별시 동작구 동작동 산41-2,생활서비스,장례/묘지,묘지관리-종합,,
파인생활건강,서울특별시 관악구 봉천동 735-11,,,,37.484665,126.9484961
CU,서울특별시 서초구 서초동 1659-1,소매,종합소매점,편의점,37.48818,127.01751
도쿄타이야끼,서울특별시 강남구 삼성동 159-7,제조,식품가공/제조,종합식품제조,37.5147838,127.0543618
신세계푸드,서울특별시 광진구 자양동 227-7,소매,음/식료품소매,반찬가게,37.5329735,127.0727409
V=B프로그램,서울특별시 강남구 삼성동 159-7,소매,건강/미용식품,다이어트상품판매,37.5147838,127.0543618
유에스세탁소,서울특별시 양천구 목동 912,생활서비스,세탁/가사서비스,세탁소/빨래방,37.53608,126.87585
김민지,서울특별시 서대문구 홍은동 48-201,생활서비스,이/미용/건강,여성미용실,37.59296,126.93733
헤어코디,서울특별시 마포구 도화동 536,생활서비스,이/미용/건강,여성미용실,37.5386394,126.9492428
에스메디센터,서울특별시 성북구 하월곡동 79-19,,,,37.60444,127.03764
카페숨,서울특별시 동작구 상도동 463-11,음식,커피점/카페,커피전문점/카페/다방,37.4988159,126.9441045
피부수선,서울특별시 성동구 성수동1가 706,생활서비스,이/미용/건강,비만/피부관리,37.5435,127.03742
파스쿠찌,서울특별시 서대문구 신촌동 134,음식,커피점/카페,커피전문점/카페/다방,37.5662284,126.9429198
GS25,서울특별시 관악구 봉천동 649-54,소매,종합소매점,편의점,37.484665,126.9484961
찰리네맥주집,서울특별시 도봉구 쌍문동 248-2,음식,유흥주점,호프/맥주,37.65347,127.02715
이마트에브리데이남부터미널점,서울특별시 서초구 서초동 1443-17,소매,종합소매점,수퍼마켓,37.48818,127.01751
더서이,서울특별시 서대문구 북가좌동 481,생활서비스,이/미용/건강,여성미용실,37.57953,126.91156
초록마을,서울특별시 송파구 장지동 841-4,소매,음/식료품소매,유기농식품판매,37.4798337,127.1310225
위니비니,서울특별시 송파구 신천동 29,제조,식품가공/제조,종합식품제조,37.5184928,127.1030779
동인하이라이프,서울특별시 마포구 노고산동 49-31,생활서비스,운송/배달/택배,퀵배달,37.5536471,126.9374998
명동김치,서울특별시 강북구 번동 454-90,소매,음/식료품소매,식료품점,37.62929,127.03684
한아신약개발,서울특별시 광진구 구의동 252-14,도매/유통/무역,화장품/비누/세정제도매,화장품/비누/세정제도매-종합,37.54417,127.09262
커피노키오,서울특별시 강동구 암사동 493-7,음식,커피점/카페,커피전문점/카페/다방,37.5582352,127.1308542
태광바이오,서울특별시 영등포구 양평동4가 80,,,,37.53689,126.89638
부산아지매국밥,서울특별시 강남구 논현동 232-17,음식,한식,한식/백반/한정식,37.5123018,127.0294935
리버파크뷔페,서울특별시 광진구 광장동 22-1,음식,부페,종합부페,37.54711,127.10414
스위트문,서울특별시 강서구 가양동 449-19,제조,식품가공/제조,종합식품제조,37.5663502,126.8525524
홈플러스,서울특별시 강서구 등촌동 639-11,음식,분식,라면김밥분식,37.5498936,126.86025
참다한홍삼,서울특별시 양천구 목동 907-7,소매,건강/미용식품,인삼제품판매,37.53608,126.87585
동아수산,서울특별시 강남구 도곡동 467-17,제조,식품가공/제조,종합식품제조,37.4878395,127.0438569
교동씨엠,서울특별시 강남구 삼성동 159-7,제조,식품가공/제조,종합식품제조,37.5147838,127.0543618
지에스25상암아이티타워,서울특별시 마포구 상암동 1590,소매,종합소매점,편의점,37.5715723,126.8728063
롯데쇼핑,서울특별시 노원구 중계동 361,음식,한식,갈비/삼겹살,37.6579363,127.074692
비보,서울특별시 마포구 서교동 331-9,음식,양식,정통양식/경양식,37.5550711,126.9238244
CU,서울특별시 종로구 신문로2가 89-29,소매,종합소매점,편의점,37.57073,126.96859
치킨마루,서울특별시 강서구 마곡동 743,음식,유흥주점,호프/맥주,37.56619,126.8255083
그라찌에,서울특별시 영등포구 양평동5가 20-3,음식,커피점/카페,커피전문점/카페/다방,37.53906,126.8928
순천당한의원,서울특별시 동대문구 제기동 889-26,의료,병원,한의원,37.58465,127.03678
얌얌,서울특별시 강남구 도곡동 919-7,음식,분식,라면김밥분식,37.4878395,127.0438569
티엔유스킨,서울특별시 동작구 흑석동 182-5,생활서비스,이/미용/건강,비만/피부관리,37.5064393,126.963687
뽕뜨락카페,서울특별시 강동구 암사동 512-22,음식,커피점/카페,커피전문점/카페/다방,37.5582352,127.1308542
미광,서울특별시 서초구 양재동 223,도매/유통/무역,무역업,농축산물무역,37.46838,127.0361
7272떡볶이,서울특별시 광진구 화양동 94-60,음식,한식,한식/백반/한정식,37.54408,127.06895
강과장,서울특별시 금천구 가산동 371-28,생활서비스,이/미용/건강,비만/피부관리,37.4753252,126.8863954
조은날,서울특별시 중랑구 묵동 294-54,음식,유흥주점,호프/맥주,37.61083,127.08109
비지에프리테일덕성여대학생회관점,서울특별시 도봉구 쌍문동 419,소매,종합소매점,편의점,37.65347,127.02715
죽이야기,서울특별시 종로구 평창동 158-1,음식,한식,한식/백반/한정식,37.6159731,126.9676478
케이프라이드,서울특별시 마포구 성산동 515,제조,식품가공/제조,종합식품제조,37.56775,126.90263
삼성제약헬스케어,서울특별시 강남구 역삼동 747-19,제조,제약업,제약업-기타,37.49988,127.03856
수상한막창,서울특별시 동대문구 답십리동 260-1,제조,식품가공/제조,종합식품제조,37.57002,127.05467
배고프면요기,서울특별시 금천구 독산동 378-237,음식,분식,라면김밥분식,,
두영에프앤디,서울특별시 서초구 반포동 19-3,제조,식품가공/제조,종합식품제조,37.50312,127.0014
스무디킹,서울특별시 도봉구 방학동 717-6,음식,커피점/카페,커피전문점/카페/다방,37.66442,127.03333
명암산채,서울특별시 노원구 월계동 333-1,제조,식품가공/제조,종합식품제조,37.6289,127.0567
대양수산,서울특별시 송파구 가락동 600,도매/유통/무역,수산물도매,수산물도매-종합,37.49672,127.11744
삼해푸드,서울특별시 성북구 길음동 20-1,소매,음/식료품소매,반찬가게,37.6085308,127.0201946
롯데슈퍼,서울특별시 노원구 중계동 515-2,소매,종합소매점,수퍼마켓,37.64802,127.07678
수네일,서울특별시 관악구 신림동 1421-9,생활서비스,이/미용/건강,발/네일케어,37.4868283,126.9282666
마고,서울특별시 강서구 내발산동 720-11,음식,제과제빵떡케익,제과점,37.5539189,126.8377194
홈플러스,서울특별시 관악구 남현동 612-51,제조,식품가공/제조,종합식품제조,37.4715479,126.9764934
세븐일레븐,서울특별시 구로구 고척동 339-1,소매,종합소매점,편의점,37.5034631,126.8585846
미녀의탄생,서울특별시 동대문구 장안동 336,생활서비스,이/미용/건강,비만/피부관리,37.57105,127.06806
동해식품,서울특별시 송파구 문정동 150-2,제조,식품가공/제조,종합식품제조,37.48434,127.12246
동해의료기,서울특별시 영등포구 대림동 706-4,소매,의약/의료품소매,의료용품소매,37.4957573,126.899936
롯데리아면목중앙점,서울특별시 중랑구 면목동 126-39,음식,패스트푸드,패스트푸드,37.58178,127.09034
피부카페,서울특별시 동작구 흑석동 55-7,생활서비스,이/미용/건강,비만/피부관리,37.5064393,126.963687
상상마트,서울특별시 도봉구 방학동 275,소매,종합소매점,수퍼마켓,37.66442,127.03333
명암산채,서울특별시 강남구 역삼동 755,제조,식품가공/제조,종합식품제조,37.49988,127.03856
동해식품,서울특별시 동대문구 전농동 591-53,제조,식품가공/제조,종합식품제조,37.5806,127.05543
리네일,서울특별시 용산구 도원동 23,생활서비스,이/미용/건강,발/네일케어,37.53857,126.95576
한신마트,서울특별시 중랑구 면목동 1077-1,소매,종합소매점,할인점,37.58178,127.09034
신원씨푸드,서울특별시 관악구 봉천동 729-22,소매,음/식료품소매,반찬가게,37.484665,126.9484961
피에스타PC방,서울특별시 강동구 상일동 259,관광/여가/오락,PC/오락/당구/볼링등,인터넷PC방,37.55073,127.1704
피자스쿨,서울특별시 서초구 우면동 66-1,음식,한식,한식/백반/한정식,37.4647545,127.0188666
헤어바이쥬디,서울특별시 관악구 신림동 1555,생활서비스,이/미용/건강,여성미용실,37.4868283,126.9282666
태후사랑,서울특별시 동작구 상도동 333-2,생활서비스,이/미용/건강,남성미용실,37.4988159,126.9441045
네네치킨,서울특별시 강남구 논현동 138-19,음식,닭/오리요리,후라이드/양념치킨,37.5123018,127.0294935
민낯,서울특별시 관악구 봉천동 196-96,소매,화장품소매,화장품판매점,,
퀸즈,서울특별시 강북구 미아동 84-54,소매,화장품소매,화장품판매점,37.628995,127.0257543
CU,서울특별시 서대문구 신촌동 134,소매,종합소매점,편의점,37.5662284,126.9429198
허브PCClub,서울특별시 강북구 번동 229-9,관광/여가/오락,PC/오락/당구/볼링등,인터넷PC방,37.62929,127.03684
두나미스커피,서울특별시 서초구 방배동 872-6,음식,커피점/카페,커피전문점/카페/다방,37.4798789,126.9939103
위드미,서울특별시 양천구 신월동 331-101,소매,종합소매점,편의점,37.52782,126.83692
모범이용원,서울특별시 강남구 역삼동 730-4,생활서비스,이/미용/건강,남성미용실,37.49988,127.03856
CU,서울특별시 성동구 금호동2가 464,소매,종합소매점,편의점,37.55311,127.0211
롯데리아,서울특별시 양천구 신정동 1190-3,음식,패스트푸드,패스트푸드,37.5162407,126.8521196
미네일,서울특별시 강남구 역삼동 706-20,생활서비스,이/미용/건강,발/네일케어,37.49988,127.03856
커피나무,서울특별시 양천구 목동 535-11,제조,식품가공/제조,종합식품제조,37.53608,126.87585
CU방배이수역점,서울특별시 서초구 방배동 1457,소매,종합소매점,편의점,37.4798789,126.9939103
이광진순두부양념,서울특별시 강남구 도곡동 959-21,음식,한식,순두부전문,37.4878395,127.0438569
동해식품,서울특별시 광진구 자양동 227-342,제조,식품가공/제조,종합식품제조,37.5329735,127.0727409
동해식품,서울특별시 노원구 상계동 713,제조,식품가공/제조,종합식품제조,37.66727,127.07242
컬투치킨,서울특별시 마포구 합정동 197-4,생활서비스,기타서비스업,사업경영상담,37.5477846,126.9095636
빈스코드,서울특별시 중랑구 상봉동 500,음식,한식,한식/백반/한정식,37.60002,127.09283
엔제리너스,서울특별시 동작구 사당동 708-435,음식,커피점/카페,커피전문점/카페/다방,,
빅센피씨방,서울특별시 동대문구 답십리동 246-23,관광/여가/오락,PC/오락/당구/볼링등,인터넷PC방,37.57002,127.05467
GS25,서울특별시 강남구 논현동 199-24,소매,종합소매점,편의점,37.5123018,127.0294935
에스헤어,서울특별시 도봉구 쌍문동 143-7,생활서비스,이/미용/건강,여성미용실,37.65347,127.02715
방실방실이,서울특별시 송파구 가락동 74-4,음식,커피점/카페,커피전문점/카페/다방,37.49672,127.11744
하드투포겟,서울특별시 서대문구 대현동 142-17,음식,한식,한식/백반/한정식,37.56058,126.94496
은하수산,서울특별시 송파구 신천동 29,제조,식품가공/제조,종합식품제조,37.5184928,127.1030779
몽블랑제,서울특별시 강서구 내발산동 750-10,음식,제과제빵떡케익,제과점,37.5539189,126.8377194
어바웃,서울특별시 용산구 용산동2가 22-12,음식,일식/수산물,음식점-일식,37.54305,126.98558
우리이발관,서울특별시 금천구 독산동 898-21,생활서비스,이/미용/건강,남성미용실,37.468399,126.8979571
세븐일레븐대치동일점,서울특별시 강남구 대치동 1004,소매,종합소매점,편의점,37.49882,127.06566
GS25대림자이,서울특별시 영등포구 대림동 1121,소매,종합소매점,편의점,37.4957573,126.899936
에이치에비뉴호텔역삼,서울특별시 강남구 역삼동 678-14,음식,한식,한식/백반/한정식,37.49988,127.03856
못난이꽈배기,서울특별시 송파구 잠실동 40-1,제조,식품가공/제조,종합식품제조,37.5122807,127.0855986
양남식품,서울특별시 영등포구 양평동1가 9-1,소매,음/식료품소매,식료품점,37.52309,126.88868
롯데리아군자점,서울특별시 광진구 군자동 478-5,음식,패스트푸드,패스트푸드,37.5532345,127.071936
CU,서울특별시 마포구 서교동 394-45,소매,종합소매점,편의점,37.5550711,126.9238244
박준뷰티랩,서울특별시 동작구 사당동 1031-27,생활서비스,이/미용/건강,비만/피부관리,37.4856963,126.9723525
어사랑밥상,서울특별시 성동구 도선동 80,음식,한식,한식/백반/한정식,37.56322,127.03311
미니,서울특별시 서초구 반포동 816,음식,양식,정통양식/경양식,37.50312,127.0014
전주익산,서울특별시 관악구 신림동 1640-31,음식,한식,한식/백반/한정식,37.4868283,126.9282666
간단하지만특별한화피디Cafe,서울특별시 송파구 문정동 634,음식,커피점/카페,커피전문점/카페/다방,37.48434,127.12246
CU,서울특별시 도봉구 창동 814,소매,종합소매점,편의점,37.64643,127.04326
CU,서울특별시 강동구 천호동 28-28,소매,종합소매점,편의점,37.54294,127.12733
로디스,서울특별시 종로구 신문로2가 89-27,도매/유통/무역,연료도매,액체연료/관련제품도매-종합,37.57073,126.96859
서울매점,서울특별시 동대문구 청량리동 40-9,소매,종합소매점,수퍼마켓,37.5882073,127.0462518
살롱드소피,서울특별시 종로구 내수동 72,생활서비스,이/미용/건강,비만/피부관리,37.57294,126.9718
헤어마지코,서울특별시 강남구 신사동 658,생활서비스,이/미용/건강,여성미용실,37.5223206,127.0277019
온네아,서울특별시 용산구 이태원동 96-38,제조,식품가공/제조,건강식품제조,37.53842,126.992
리앤주,서울특별시 동대문구 이문동 78-24,소매,취미/오락관련소매,완구점,37.60021,127.06124
COCOS,서울특별시 중구 초동 55,소매,종합소매점,수퍼마켓,37.56431,126.99195
개성인삼,서울특별시 동대문구 제기동 1015,제조,식품가공/제조,종합식품제조,37.58465,127.03678
위드미노원공릉점,서울특별시 노원구 공릉동 350-22,소매,종합소매점,편의점,37.63021,127.08818
스타뷰티,서울특별시 강남구 역삼동 707-34,생활서비스,이/미용/건강,비만/피부관리,37.49988,127.03856
릴렉스,서울특별시 서초구 잠원동 22-13,생활서비스,이/미용/건강,발/네일케어,37.5182544,127.0124028
고봉민김밥,서울특별시 양천구 신정동 323-17,음식,분식,라면김밥분식,37.5162407,126.8521196
테이스티나인,서울특별시 강남구 압구정동 429,제조,식품가공/제조,종합식품제조,37.5300432,127.0313346
해원에스디,서울특별시 영등포구 영등포동8가 62-1,제조,식품가공/제조,종합식품제조,37.52872,126.90411
경호식당,서울특별시 양천구 신월동 913-1,음식,한식,한식/백반/한정식,37.52782,126.83692
위드미중구소공점,서울특별시 중구 소공동 86-6,소매,종합소매점,편의점,37.5636592,126.9794961
현대그린푸드,서울특별시 강남구 압구정동 429,음식,분식,라면김밥분식,37.5300432,127.0313346
다복집,서울특별시 종로구 예지동 151-2,음식,한식,한식/백반/한정식,37.5695591,126.9982556
떡볶이샵,서울특별시 양천구 목동 315-19,음식,분식,라면김밥분식,37.53608,126.87585
법인드림푸드,서울특별시 영등포구 신길동 171-9,제조,식품가공/제조,종합식품제조,,
계문사,서울특별시 종로구 창신동 455,도매/유통/무역,서적/음반/문구도매,문구용품도매-종합,37.57595,127.01313
양서식당,서울특별시 강서구 내발산동 723,음식,한식,한식/백반/한정식,37.5539189,126.8377194
BHC치킨,서울특별시 양천구 신월동 517-8,음식,닭/오리요리,후라이드/양념치킨,37.52782,126.83692
커피나무,서울특별시 은평구 역촌동 34-18,음식,커피점/카페,커피전문점/카페/다방,37.605,126.91198
목화모텔,서울특별시 서초구 서초동 1601-9,숙박,모텔/여관/여인숙,모텔/여관/여인숙,37.48818,127.01751
커피앤가든,서울특별시 강남구 대치동 985,음식,한식,한식/백반/한정식,37.49882,127.06566
커피깡패연구소,서울특별시 용산구 한강로2가 2-37,음식,커피점/카페,커피전문점/카페/다방,37.53142,126.9685
사랑의김밥,서울특별시 노원구 월계동 776,음식,한식,한식/백반/한정식,37.6289,127.0567
GS25,서울특별시 송파구 가락동 123-17,소매,종합소매점,편의점,37.49672,127.11744
GS25,서울특별시 광진구 구의동 246-3,소매,종합소매점,편의점,37.54417,127.09262
미스터돈,서울특별시 중구 묵정동 25-18,음식,한식,한식/백반/한정식,37.5612,127.00019
숟가락앤젓가락,서울특별시 도봉구 도봉동 601-43,음식,분식,라면김밥분식,37.6826056,127.0425405
아지트,서울특별시 중구 충무로3가 38-22,음식,유흥주점,빠/카페/스탠드빠,37.56217,126.99157
GS25,서울특별시 서초구 방배동 915-5,소매,종합소매점,편의점,37.4798789,126.9939103
GS25,서울특별시 동대문구 휘경동 293-96,소매,종합소매점,편의점,,
GS25역삼기쁨점,서울특별시 강남구 역삼동 640-13,소매,종합소매점,편의점,37.49988,127.03856
GS25보라매타운점,서울특별시 관악구 봉천동 729-24,소매,종합소매점,편의점,37.484665,126.9484961
롯데리아,서울특별시 강서구 공항동 1373,음식,패스트푸드,패스트푸드,37.5556799,126.7931257
CUSK중랑교주유소점,서울특별시 중랑구 중화동 207-22,소매,종합소매점,편의점,37.59755,127.07783
GS25,서울특별시 동작구 상도동 29-37,소매,종합소매점,편의점,37.4988159,126.9441045
움쓰네일,서울특별시 마포구 서교동 486,생활서비스,이/미용/건강,여성미용실,37.5550711,126.9238244
김밥천국,서울특별시 금천구 독산동 291-5,음식,분식,라면김밥분식,37.468399,126.8979571
세븐일레븐합정역본점,서울특별시 마포구 합정동 388-32,소매,종합소매점,편의점,37.5477846,126.9095636
GS25당산하나점,서울특별시 영등포구 당산동2가 37,소매,종합소매점,편의점,37.5212655,126.9001505
이광희한복침구,서울특별시 서초구 서초동 1442-10,소매,의복의류,한복/갈옷/민속옷,37.48818,127.01751
CU,서울특별시 광진구 화양동 23-7,소매,종합소매점,편의점,37.54408,127.06895
장터먹거리,서울특별시 송파구 가락동 87-2,음식,한식,한식/백반/한정식,37.49672,127.11744
강스네일,서울특별시 마포구 아현동 738,생활서비스,이/미용/건강,발/네일케어,37.550547,126.9524639
GS25대방승화점,서울특별시 동작구 대방동 383-29,소매,종합소매점,편의점,37.5067997,126.9291349
천지식품,서울특별시 관악구 신림동 541,소매,음/식료품소매,식료품점,37.4868283,126.9282666
쉘터,서울특별시 서초구 서초동 1310-5,음식,커피점/카페,커피전문점/카페/다방,37.48818,127.01751
GS25,서울특별시 구로구 구로동 406-6,소매,종합소매점,편의점,37.4945849,126.8845477
GS25,서울특별시 노원구 상계동 767-5,소매,종합소매점,편의점,37.66727,127.07242
GS25,서울특별시 영등포구 양평동 70,소매,종합소매점,편의점,37.53142,126.89373
천리향구이,서울특별시 구로구 구로동 131-16,음식,중식,중국음식/중국집,37.4945849,126.8845477
GS25북가좌태양점,서울특별시 서대문구 북가좌동 306-22,소매,종합소매점,편의점,37.57953,126.91156
대원,서울특별시 중랑구 면목동 129-12,생활서비스,대중목욕탕/휴게,욕탕업-종합,37.58178,127.09034
CU삼성한호점,서울특별시 강남구 대치동 961-13,소매,종합소매점,편의점,37.49882,127.06566
위니비니,서울특별시 종로구 서린동 33,음식,제과제빵떡케익,제과점,37.56925,126.97959
OKPC방,서울특별시 강동구 성내동 50-16,음식,패스트푸드,패스트푸드,37.52998,127.12875
진짜한우,서울특별시 강서구 가양동 1460,소매,음/식료품소매,육류소매,37.5663502,126.8525524
남선푸드,서울특별시 영등포구 영등포동4가 442,소매,음/식료품소매,반찬가게,37.51777,126.90368
세븐일레븐,서울특별시 강북구 수유동 119-11,소매,종합소매점,편의점,37.6352212,127.0090642
GS25,서울특별시 광진구 구의동 252-4,소매,종합소매점,편의점,37.54417,127.09262
GS25,서울특별시 송파구 방이동 122-7,소매,종합소매점,편의점,37.5141564,127.1195472
이천현미와누룽지,서울특별시 송파구 신천동 7,제조,식품가공/제조,종합식품제조,37.5184928,127.1030779
쏠쏠,서울특별시 강남구 대치동 316,소매,의복의류,일반의류,37.5027147,127.0672718
세븐일레븐,서울특별시 서초구 방배동 857-42,소매,종합소매점,편의점,37.4798789,126.9939103
GS25창천제일점,서울특별시 서대문구 창천동 502-7,소매,종합소매점,편의점,,
순희네에프앤비,서울특별시 동대문구 용두동 254-10,제조,식품가공/제조,종합식품제조,37.57616,127.03476
진진바라서초점서초점,서울특별시 서초구 서초동 1553-5,음식,한식,한식/백반/한정식,37.48818,127.01751
GS25면목미래점,서울특별시 중랑구 면목동 108-67,소매,종합소매점,편의점,37.58178,127.09034
GS25,서울특별시 은평구 대조동 9-40,소매,종합소매점,편의점,37.61261,126.9227835
세븐일레븐구로보람점,서울특별시 구로구 구로동 136-7,소매,종합소매점,편의점,37.4945849,126.8845477
GS25,서울특별시 강서구 화곡동 1105-7,소매,종합소매점,편의점,37.54208,126.84656
보떼,서울특별시 마포구 염리동 174-14,소매,화장품소매,화장품판매점,37.54914,126.94915
CU,서울특별시 동작구 상도동 327-13,소매,종합소매점,편의점,37.4988159,126.9441045
공차,서울특별시 강남구 압구정동 429,음식,커피점/카페,커피전문점/카페/다방,37.5300432,127.0313346
GS25,서울특별시 금천구 시흥동 1011,소매,종합소매점,편의점,37.4507049,126.9085555
그린다방,서울특별시 중구 산림동 207-2,음식,커피점/카페,커피전문점/카페/다방,37.56738,126.99578
예인미용실,서울특별시 강북구 번동 148-316,생활서비스,이/미용/건강,여성미용실,,
GS25,서울특별시 강동구 천호동 316,소매,종합소매점,편의점,37.54294,127.12733
베키아앤누보,서울특별시 중구 충무로1가 52-5,음식,양식,기타전문서양음식점,37.56088,126.98318
THE,서울특별시 강동구 명일동 15,소매,의복의류,일반의류,37.54841,127.15158
GS25,서울특별시 종로구 명륜2가 230,소매,종합소매점,편의점,37.58446,126.99869
뷰티샵,서울특별시 동대문구 용두동 39-708,생활서비스,이/미용/건강,비만/피부관리,37.5793038,127.0295865
헤어탑,서울특별시 서대문구 홍은동 398-9,생활서비스,이/미용/건강,여성미용실,37.59296,126.93733
러블리,서울특별시 강북구 미아동 75-296,소매,화장품소매,화장품판매점,,
행복마트,서울특별시 강북구 미아동 315-46,소매,기타판매업,담배소매,37.628995,127.0257543
CU,서울특별시 용산구 신창동 59-4,소매,종합소매점,편의점,37.53586,126.95441
쏭지네일,서울특별시 강북구 미아동 838-76,생활서비스,이/미용/건강,발/네일케어,37.628995,127.0257543
GS25,서울특별시 은평구 갈현동 486-22,소매,종합소매점,편의점,37.62058,126.91102
